idDocumentSentence1,idDocumentSentence2,cosine_anno_lome,cosine_anno_lomeedt,cosine_lome_lomeedt,sentence
5229251,5229445,0.627706,0.70568,0.945275,"Deficiente visual, ele tem conversado bastante com a psicóloga e confessa que ainda está abalado com tudo que aconteceu."
5229260,5229454,0.635222,0.936998,0.684954,"Eles vão voltar pra uma realidade onde eles vão entrar nos lares e eles vão ter que tirar o lodo."
5229253,5229447,0.850229,0.814114,0.953451,"A psicóloga tem procurado alternar o atendimento aos próprios pacientes com a assistência aos desalojados."
3118633,5229434,0.81819,0.762112,0.936623,"Nos abrigos há uma preocupação muito grande com, não só de receber as pessoas mas como também fazer um trabalho de apoio emocional pra quem, obviamente, perdeu tudo e ainda tem uma preocupação muito grande com o que vem, com o futuro, né, com o que vem aí."
3118760,5229440,0.542051,0.720531,0.832504,"Não é o alimentar e dar um local pra dormir."
3118637,5229436,0.527096,0.802631,0.72266,"Adriano é um dos duzentos desalojados que estão neste abrigo na região metropolitana de Porto Alegre."
5229255,5229449,0.856232,0.562505,0.66259,"Formar, dentro da possibilidade, um ambiente em que ele traga."
3118764,5229442,0.541234,0.414254,0.931771,"Porto Alegre é longe tô pegando um ônibus pra te encontrar."
5229257,5229451,0.999141,0.999141,1,"É acolher, que é muito mais importante."
3118749,5229438,0.901795,0.852458,0.943913,"Eliane é voluntária no abrigo e também em uma plataforma online gratuita."
5229250,5229444,0.763075,0.746559,0.82075,"Por enquanto ele só quer um radinho para ouvir as músicas que mais gosta."
5229259,5229453,0.745439,0.58515,0.660384,"Porém, agora, o desafio é voltar para casa."
5229252,5229446,0.831592,0.826438,0.89942,"Fica mais difícil."
5229261,5229455,0.466497,0.704568,0.691286,"Eles vão perder muitos pertences, e pertences que têm um apelo emocional."
3118635,5229435,0.934962,0.954228,0.977654,"Eu fui conhecer um trabalho de saúde mental em um dos abrigos, vamos ver como é que foi."
5229254,5229448,0.546262,0.798437,0.665292,"Para ela, mais do que fazer perguntas, o momento agora é de ouvir."
3118762,5229441,0.554409,0.859605,0.685176,"Embora as conversas venham surtindo efeito, pensar no futuro ainda causa desconforto."
5229256,5229450,0.996776,0.996776,1,"A pessoa tem que eleger o que é necessário e o que é importante."
3118639,5229437,0.897588,0.903591,0.986167,"Eles conversam muito comigo, porque a gente não consegue, né, e até mesmo por causa da minha deficiência fica mais difícil, né?"
5229249,5229443,0.691547,0.996631,0.688637,"Lembra do Adriano do começo da reportagem?"
3118758,5229439,0.406664,0.432731,0.926072,"O acolhimento ele é com um aperto de mão, né, uma troca de olhar sincera, né?"
5229258,5229452,0.704084,0.704084,1,"Então a gente vê que essas pessoas são gratas."
