idDocumentSentence1,idDocumentSentence2,cosine_anno_lome,cosine_anno_lomeedt,cosine_lome_lomeedt,sentence
3117300,5230062,0.329417,0.329417,1,"Além disso, a decisão do Supremo foi interpretada por alguns parlamentares, incluindo o presidente do senado Rodrigo Pacheco, como invasão de competência legislativa."
3117284,5230055,0.646681,0.823648,0.793369,"Todo cenário é de muita cautela, muito respeito, até porque tem que lembrar que a cannabis ainda é uma substância proibida, não foi legalizada."
3117304,5230064,0.680424,0.680424,1,"Quem recebe os habeas corpus, que envolve as pessoas presas com drogas, é o Supremo Tribunal Federal."
3117290,5230057,0.458166,0.458166,1,"Quando a quantidade é reduzida para até vinte e cinco gramas, o número de presos cai para menos de nove mil."
3117270,5230050,0.774304,0.774304,1,"Segundo especialistas, uma das expectativas é diminuir injustiças contra negros e pobres nas periferias."
3117308,5230066,-1,-1,1,"Portanto, não existe matéria mais pertinente à atuação do Supremo do que essa."
3117294,5230059,0.388864,0.388864,1,"A decisão do Supremo é definitiva e deve começar a valer assim que for publicada."
3117274,5230052,0.847989,0.757644,0.874961,"Além disso, continua sendo proibido usar maconha em lugares públicos."
4372932,5230068,0.927423,0.984398,0.938558,"Como participar de cursos sobre dependência."
3117298,5230061,0.424754,0.424754,1,"A PEC, que já foi aprovada no senado e agora será discutida em uma comissão especial na câmara, torna crime o porte e a posse de todas as drogas em qualquer quantidade."
3117280,5230054,0.749898,0.745203,0.836076,"Eu acho que as pessoas não queriam se sentir criminosas."
4372938,5230070,0.725936,0.725936,1,"Tirando essa questão que às vezes injustamente acontecia de se for pego em uma situação de vulnerabilidade, em um local mais humilde, de fato era colocado no sistema prisional."
3117302,5230063,0.384375,0.384375,1,"No início da sessão de hoje do Supremo, o presidente da corte falou sobre as acusações de que o STF invadiu a competência do congresso sobre o tema."
3117286,5230056,0.8774,0.8774,1,"Do ponto de vista das contas públicas, hoje, o Brasil gasta quase seiscentos milhões de reais por ano para manter na cadeia cerca de dezenove mil presos condenados por portar até cem gramas de maconha."
3117268,5230049,0.777088,0.777088,1,"E agora, quais as repercussões dessas decisões do STF?"
3117306,5230065,0.506953,0.506953,1,"E, portanto, nós precisamos ter um critério que oriente a nós mesmos em que situações se deve considerar tráfico e em que situação se deve considerar uso."
3117292,5230058,0.601296,0.601296,1,"Você tira uma discussão que deixa só a cargo do delegado, do juiz ou do judiciário como um todo, decidir quem vai ou quem não vai para a cadeia."
3117272,5230051,0.469414,0.860704,0.506981,"Pela decisão do Supremo, agora, quem for enquadrado pela polícia como usuário não será fichado com antecedentes criminais, mas estará sujeito a penas administrativas e socioeducativas."
4372930,5230067,0.719711,0.573555,0.776257,"Além de impactar o crime organizado e diminuir o chamado encarceramento em massa no país."
3117296,5230060,0.762953,0.762953,1,"Mas o Congresso continua analisando uma mudança na constituição, que pode reverter a situação."
3117276,5230053,0.627009,0.796134,0.567367,"A gente tem uma consciência social, ninguém quer causar transtorno para vizinho, não dar trabalho para ninguém."
4372936,5230069,0.302314,0.302314,1,"Com gastos estimados de duzentos e sessenta e três milhões de reais."
