idDocumentSentence1,idDocumentSentence2,cosine,sentence
5229545,5229521,0.67637,"Vamos ver na reportagem."
5229529,5229505,0.454795,"Não tem água pra lavar roupa, não tem fogão pra cozinhar, não tem, então a gente tem que pensar nisso, parar e pensar, se por no lugar do outro pra você ter sensibilidade de falar: ""Não, peraí, ele merece muito mais, né"""
5229538,5229514,0.897155,"Não para, afina e engrossa."
5229531,5229507,0.958103,"A doação vêm do coração, do cuidado e escolher aquilo que você vai enviar pra quem precisa."
5229547,5229523,0.816102,"Não digo nem em bom uso, é ótimo uso, uma roupa que você estaria usando."
5229524,5229500,0.93013,"A gente têm visto aqui nessa cobertura, que há solidariedade o tempo inteiro, né? A gente fala isso bastante aqui no jornal, essa solidariedade tomou conta de todo o país em relação ao povo aqui do Rio Grande do Sul e muitas doações têm chegado aqui do Brasil inteiro."
5229540,5229516,-1,"Brigada, Bárbara."
5229533,5229509,0.573813,"Não é pra doar o que você ia jogar fora, né?"
5229526,5229502,0.548055,"Maria Cristina é voluntária da Ação da Cidadania, organização que está recolhendo doações aqui no Rio de Janeiro para levar ao Rio Grande do Sul e lamenta quando encontra coisas em más condições."
5229542,5229518,0.825031,"Essa solidariedade tomou conta de todo país em relação ao povo aqui do Rio Grande do Sul."
5229535,5229511,0.931838,"Bom, PortaNova, Iara, a chuva tinha dado uma parada entre o começo do jornal e até agora, mas voltou a chover forte por aqui e PortaNova, você falou lá no começo do jornal da importância das bombas d&#039;água, a prefeitura anunciou que das vinte e três bombas que existem aqui em Porto Alegre, dez estão em funcionamento."
5229528,5229504,0.730987,"Na hora de doar, é importante pensar no que enviar, e também no trabalho prévio que muita gente tem que fazer na hora da triagem do que está ou não em bom estado."
5229544,5229520,0.967845,"Tem materiais que têm sido doados, né, e não estão em condiçoes de uso."
5229537,5229513,0.924151,"Tá certo, obrigado. É impressionante que a chuva não para, né? Negócio de louco, não para. Não para de chover."
5229530,5229506,0.7611,"Há uma diferença muito grande entre descartar e doar."
5229546,5229522,0.997833,"Então você tem que dar uma coisa que esteja em ótimo uso."
5229539,5229515,1,"É, mas continua chovendo, o tempo todo."
5229532,5229508,0.855762,"E olha só, eu vi agora aqui um exemplo de uma pessoa que doou em saquinhos, tudo cheiroso, dobrado, com até a faixa etária das crianças que vão receber."
5229541,5229517,0.999395,"A gente fala isso bastante aqui no jornal."
5229525,5229501,0.970643,"Mas é preciso observar de que forma esse material tá chegando."
5229534,5229510,0.9016,"É através da solidariedade de quem doa, a gente consegue tá levando alimento, produtos de higiene limpeza e outros itens pra poder dar força, pra poder resgatar essas pessoas, pra que elas consigam tá dando continuidade as suas vidas."
5229527,5229503,0.914206,"Nós estamos pedindo, né, pra quem tem roupas rasgada, suja, sapatos nessas condições, roupa nas condições que estão mandando pra não mandarem, porque lá eles não tem água, estão numa situação precária,. Nós vamos mandar isso?"
5229543,5229519,1,"E muitas doações têm chegado aqui do Brasil inteiro."
5229536,5229512,0.93697,"Hoje eu fico por aqui, amanhã eu volto com outras informações aqui de Porto Alegre. É com vocês aí em Brasília."
