idDocumentSentence1,idDocumentSentence2,cosine_anno_lome,cosine_anno_lomeedt,cosine_lome_lomeedt,sentence
3126215,5229273,0.591239,0.591239,1,"Em apenas oito dias a gente conseguiu levantar mais de duzentas espécies."
3348661,5229289,0.690815,0.690815,1,"A gente precisa é de mais educação ambiental e de mais informação."
3126233,5229282,0.5225,0.5225,1,"Para quem cuida do espaço, a educação ambiental é uma das estratégias para preservar."
3348664,5229291,0.950267,0.950267,1,"E que as coisas cheguem com mais facilidade à população."
3126219,5229275,0.738382,0.738382,1,"Nós já fizemos uma ação de limpeza lá na Ilha de Palmas."
3299189,5229284,0.703342,0.703342,1,"Então a gente encontra espécies de garopas, espécies de cavalo-marinho que a gente consegue detectar aqui com a maior facilidade."
3126223,5229277,0.958656,0.958656,1,"O ""Coral-Sol"", que foi encontrado nessas ilhas, é uma espécie nativa dos oceanos Indico e Pacífico."
4358907,5229293,0.193997,0.193997,1,"E são agora reconhecidas como pontos de esperança ou ""hope spots""."
3126209,5229270,0.674262,0.674262,1,"Palmas e peças, as Ilhas da praia de Grumari, além das três ilhas Tijucas, todas localizadas na zona oeste do Rio."
3348655,5229286,0.524633,0.524633,1,"Encontramos muitos resíduos plásticos deixados por visitantes e,  também, lixo encontrado pela maré."
4358911,5229295,0.63324,0.63324,1,"E o mais interessante de tudo aqui é que a gente está de frente para um verdadeiro berçário de espécies ameaçadas, né."
3126227,5229279,0.487499,0.487499,1,"O ""Coral-Sol"" ainda se reproduz três vezes mais rápido do que as espécies nativas."
3126213,5229272,0.524838,0.524838,1,"Os pesquisadores do projeto ""Ihas do Rio"" são os principais responsáveis pelo título, comprovando a biodiversidade das ilhas."
3348659,5229288,0.605877,0.605877,1,"É uma ameaça à biodiversidade local porque onde cresce, cresce por cima de outras espécies, inibe a passagem de luz e dificulta a fotossíntese."
3126231,5229281,0.825566,0.825566,1,"A presença do Coral-Sol na região é monitorada pelo Instituto Mar Adentro e por universidades."
3126217,5229274,0.176627,0.176627,1,"As Ilhas de Grumari fazem parte da área protegida no Parque Natural Municipal da Prainha e de Grumari."
3348663,5229290,-1,-1,1,"E de que as coisas cheguem com mais facilidade à população."
3126235,5229283,0.239402,0.239402,1,"A gente só preserva aquilo que a gente conhece."
3126221,5229276,0.430867,0.430867,1,"Outra ameaça são as espécies invasoras, entre elas, o ""Coral-Sol"", conhecido como beleza fatal."
3348666,5229292,0.53881,0.53881,1,"E  que as pessoas entendam que o que é público tem que ser muito mais cuidado até do que é privado, é nosso isso daqui."
3126207,5229269,0.156121,0.156121,1,"Um conjunto de ilhas no litoral da zona oeste do Rio de Janeiro ganhou um importante título internacional pela preservação da biodiversidade."
3299235,5229285,0.522372,0.522372,1,"A região também tem o selo bandeira azul, renovado anualmente e que certifica a qualidade da água."
3126225,5229278,0.583947,0.583947,1,"Ele chega principalmente por meio de embarcações."
4358909,5229294,0.309993,0.309993,1,"Tiveram o estado de preservação certificado pela Maison Blue, uma organização internacional sem fins lucrativos."
3348657,5229287,0.672274,0.672274,1,"E a gente está buscando uma parceria com os próprios pescadores, associação de moradores, poder público, iniciativa privada para que a gente possa unir forças e cada vez mais preservar esse ambiente."
3126211,5229271,-1,-1,1,"Elas se unem às cagarras na Praia de ipanema para possuirem o título de ""hope sports"", pontos de esperança."
3126229,5229280,0.558112,0.558112,1,"Nós identificamos alguns exemplares, né, algumas poucas colônias do Coral-Sol que pode acabar, né, se multiplicando e se estabilizando nessa área causando os efeitos negativos também para a biodiversidade marinha dessa região."
4358913,5229296,0.810332,0.810332,1,"Mas a preservação das ilhas não está totalmente livre de ameaças."
