idDocumentSentence1,idDocumentSentence2,cosine,sentence
3118782,5229505,0.433316,"Não tem água pra lavar roupa, não tem fogão pra cozinhar, não tem, então a gente tem que pensar nisso, parar e pensar, se por no lugar do outro pra você ter sensibilidade de falar: ""Não, peraí, ele merece muito mais, né"""
5229266,5229521,-1,"Vamos ver na reportagem."
3118800,5229514,-1,"Não para, afina e engrossa."
3118786,5229507,0.881954,"A doação vêm do coração, do cuidado e escolher aquilo que você vai enviar pra quem precisa."
5229268,5229523,0.70804,"Não digo nem em bom uso, é ótimo uso, uma roupa que você estaria usando."
3118766,5229500,0.719476,"A gente têm visto aqui nessa cobertura, que há solidariedade o tempo inteiro, né? A gente fala isso bastante aqui no jornal, essa solidariedade tomou conta de todo o país em relação ao povo aqui do Rio Grande do Sul e muitas doações têm chegado aqui do Brasil inteiro."
3118804,5229516,-1,"Brigada, Bárbara."
3118790,5229509,0.492314,"Não é pra doar o que você ia jogar fora, né?"
3118770,5229502,0.574064,"Maria Cristina é voluntária da Ação da Cidadania, organização que está recolhendo doações aqui no Rio de Janeiro para levar ao Rio Grande do Sul e lamenta quando encontra coisas em más condições."
5229263,5229518,-1,"Essa solidariedade tomou conta de todo país em relação ao povo aqui do Rio Grande do Sul."
3118794,5229511,-1,"Bom, PortaNova, Iara, a chuva tinha dado uma parada entre o começo do jornal e até agora, mas voltou a chover forte por aqui e PortaNova, você falou lá no começo do jornal da importância das bombas d&#039;água, a prefeitura anunciou que das vinte e três bombas que existem aqui em Porto Alegre, dez estão em funcionamento."
3118780,5229504,0.635745,"Na hora de doar, é importante pensar no que enviar, e também no trabalho prévio que muita gente tem que fazer na hora da triagem do que está ou não em bom estado."
5229265,5229520,-1,"Tem materiais que têm sido doados, né, e não estão em condiçoes de uso."
3118798,5229513,-1,"Tá certo, obrigado. É impressionante que a chuva não para, né? Negócio de louco, não para. Não para de chover."
3118784,5229506,0.7611,"Há uma diferença muito grande entre descartar e doar."
5229267,5229522,0.806431,"Então você tem que dar uma coisa que esteja em ótimo uso."
3118802,5229515,-1,"É, mas continua chovendo, o tempo todo."
3118788,5229508,0.697322,"E olha só, eu vi agora aqui um exemplo de uma pessoa que doou em saquinhos, tudo cheiroso, dobrado, com até a faixa etária das crianças que vão receber."
3118768,5229501,-1,"Mas é preciso observar de que forma esse material tá chegando."
5229262,5229517,0.75284,"A gente fala isso bastante aqui no jornal."
3118792,5229510,0.883222,"É através da solidariedade de quem doa, a gente consegue tá levando alimento, produtos de higiene limpeza e outros itens pra poder dar força, pra poder resgatar essas pessoas, pra que elas consigam tá dando continuidade as suas vidas."
3118772,5229503,0.770998,"Nós estamos pedindo, né, pra quem tem roupas rasgada, suja, sapatos nessas condições, roupa nas condições que estão mandando pra não mandarem, porque lá eles não tem água, estão numa situação precária,. Nós vamos mandar isso?"
5229264,5229519,-1,"E muitas doações têm chegado aqui do Brasil inteiro."
3118796,5229512,-1,"Hoje eu fico por aqui, amanhã eu volto com outras informações aqui de Porto Alegre. É com vocês aí em Brasília."
