idDocumentSentence1,idDocumentSentence2,cosine,sentence
5229251,5229467,0.70568,"Deficiente visual, ele tem conversado bastante com a psicóloga e confessa que ainda está abalado com tudo que aconteceu."
5229260,5229476,0.936998,"Eles vão voltar pra uma realidade onde eles vão entrar nos lares e eles vão ter que tirar o lodo."
5229253,5229469,0.814114,"A psicóloga tem procurado alternar o atendimento aos próprios pacientes com a assistência aos desalojados."
3118633,5229456,0.762112,"Nos abrigos há uma preocupação muito grande com, não só de receber as pessoas mas como também fazer um trabalho de apoio emocional pra quem, obviamente, perdeu tudo e ainda tem uma preocupação muito grande com o que vem, com o futuro, né, com o que vem aí."
3118760,5229462,0.720531,"Não é o alimentar e dar um local pra dormir."
3118637,5229458,0.802631,"Adriano é um dos duzentos desalojados que estão neste abrigo na região metropolitana de Porto Alegre."
5229255,5229471,0.562505,"Formar, dentro da possibilidade, um ambiente em que ele traga."
3118764,5229464,0.414254,"Porto Alegre é longe tô pegando um ônibus pra te encontrar."
5229257,5229473,0.999141,"É acolher, que é muito mais importante."
3118749,5229460,0.852458,"Eliane é voluntária no abrigo e também em uma plataforma online gratuita."
5229250,5229466,0.746559,"Por enquanto ele só quer um radinho para ouvir as músicas que mais gosta."
5229259,5229475,0.58515,"Porém, agora, o desafio é voltar para casa."
5229252,5229468,0.826438,"Fica mais difícil."
5229261,5229477,0.704568,"Eles vão perder muitos pertences, e pertences que têm um apelo emocional."
5229254,5229470,0.798437,"Para ela, mais do que fazer perguntas, o momento agora é de ouvir."
3118635,5229457,0.954228,"Eu fui conhecer um trabalho de saúde mental em um dos abrigos, vamos ver como é que foi."
3118762,5229463,0.859605,"Embora as conversas venham surtindo efeito, pensar no futuro ainda causa desconforto."
5229256,5229472,0.996776,"A pessoa tem que eleger o que é necessário e o que é importante."
3118639,5229459,0.903591,"Eles conversam muito comigo, porque a gente não consegue, né, e até mesmo por causa da minha deficiência fica mais difícil, né?"
5229249,5229465,0.996631,"Lembra do Adriano do começo da reportagem?"
3118758,5229461,0.432731,"O acolhimento ele é com um aperto de mão, né, uma troca de olhar sincera, né?"
5229258,5229474,0.704084,"Então a gente vê que essas pessoas são gratas."
