idDocumentSentence1,idDocumentSentence2,cosine,sentence
3112147,5229585,0.585488,"Vamos ver agora uma reportagem que mostra a situação do Vale no Javari."
3112175,5229598,0.282402,"Para além da punição dos executores, a gente espera que seja feito realmente um trabalho de desmantelamento daquela cadeia criminosa."
4358993,5229614,0.149085,"Tamanho equivalente a muitos países, como Áustria e Emirados Árabes."
4359010,5229623,0.229703,"Implementamos novas ações, ações essas, inclusive, integradas com outros órgãos."
3112133,5229578,-1,"Olá, uma ótima noite para você, Porta Nova, para a Iara e para todos que acompanham o Repórter Brasil."
4358980,5229607,-1,"E onde daqui a pouco, está marcado para às sete e meia da noite, vai começar um ato em homenagem aos dois anos de morte de Don Phillips e Bruno Pereira."
3112151,5229587,0.227128,"O Vale do Javari é uma imensidão de oito milhões de hectares."
3112179,5229600,0.588281,"Segundo a Polícia Federal, há um plano de segurança para a região."
4358996,5229616,0.350084,"O Exército faz, o IBAMA as vezes faz também, fez uma vez com a FUNAI e… só se for ação pontual mesmo."
3112137,5229580,0.597698,"Como a gente pode observar, as pessoas já estão aqui trabalhando na organização do evento."
3112163,5229593,0.53733,"A gente fica o tempo todo extremamente preocupado sobre o risco de um caso parecido voltar a se repetir."
4358984,5229609,-1,"Ali a gente pode ver uma mesa, em que as pessoas vão debater o que está acontecendo na região onde aconteceram os assassinatos."
3112123,5229573,-1,"Eles morreram lutando pela proteção dos povos indígenas que vivem no Vale do Javari, no Amazonas."
3112155,5229589,0.813734,"Os povos que vivem ali reclamam da insegurança e da falta de agentes públicos."
3112183,5229602,0.508952,"A gente espera que melhore as ações do Governo, sobretudo a proteção territorial, a segurança, saúde, educação."
4359000,5229618,0.800814,"Mas que o programa ainda não ofereceu medidas concretas de proteção como essas pessoas precisam."
3112141,5229582,0.604273,"Também haverá um balanço das ações do governo na terra indígena Vale do Javari."
3112167,5229595,0.386369,"O Governo lançou um plano de proteção do Vale do Javari."
4358987,5229611,0.799592,"Que fica na região onde aconteceram os assassinatos."
3112159,5229591,0.675557,"Agora, permanente, efetivamente, nessa região não tem como não."
3348733,5229604,0.78278,"Entre as ações está o programa para proteger os defensores dos Direitos Humanos."
4359004,5229620,0.860559,"Dessas equipes que estão lá e, também, com outros órgãos de Governo."
3112127,5229575,-1,"Hoje o dia foi de homenagens em Brasília."
3112145,5229584,0.316736,"E, agora a noite, começou a projeção das imagens de Don e Bruno na esplanada dos ministérios."
3112173,5229597,0.663146,"A viúva de Bruno Pereira não espera apenas justiça, mas também quer segurança para as comunidades amazônicas."
4358991,5229613,0.108891,"Que é a segunda maior terra indígena do Brasil e concentra o maior número de terras indígenas isoladas do mundo."
3112131,5229577,-1,"Manuela, muito boa noite para você."
4358978,5229606,-1,"Contam como estão as investigações e dão uma ideia de como estão os defensores dos indígenas que vivem lá na região."
4359008,5229622,0.851807,"Que se não for tratado isso, vai vitimar outras pessoas, né?"
3112149,5229586,0.455598,"Vamos ver agora."
3112177,5229599,0.134168,"E, sobretudo, as lideranças indígenas."
4358995,5229615,-1,"O Exército faz, o IBAMA as vezes faz também, fez uma vez com a FUNAI e… só se for ação pontual mesmo."
4358982,5229608,0.842737,"Já tem alguns convidados que já chegaram também."
3112135,5229579,-1,"Eu estou aqui no memorial dos povos indígenas, que fica no centro de Brasília."
3112121,5229572,-1,"A gente começa o Repórter Brasil falando sobre os dois anos dos assassinatos do indigenista brasileiro Bruno Pereira e do Jornalista Britânico Don Phillips."
3112153,5229588,1,"Fica na fronteira entre Brasil, Peru e Colômbia."
3112181,5229601,0.438377,"Já no início do ano passado, nós deslocamos uma base fluvial, que é a base Nova Era, para a região do Vale do Javari."
4358998,5229617,0.658581,"Porque tem pessoas muito engajadas na luta pelo Vale do Javari, que seguem sofrendo ameaças."
3112139,5229581,-1,"E, além da homenagem."
3112165,5229594,0.721947,"Então, acho que esse é um ponto muito sério, que teve um pequeno avanço de colocá-los no programa."
4358985,5229610,0.794679,"Ali a gente pode ver uma mesa, em que as pessoas vão debater o que está acontecendo na região onde aconteceram os assassinatos."
4359002,5229619,0.770883,"Que tem uma equipe de oito profissionais de diversas áreas."
3112125,5229574,-1,"Nós preparamos reportagens especiais que relembram o caso."
3112157,5229590,0.825454,"Permanente aqui, nessa região, não tem não, mas para fazer um trabalho esporádico, vai lá fazer uma operação rápida e volta."
3112185,5229603,0.764669,"Esses três, quatro temas principais que a gente espera que o Governo faça suas responsabilidades e ações, né?"
3112143,5229583,0.946835,"Hoje a tarde houve uma roda de conversas e também a exibição de um documentário sobre a morte de Don Phillips e Bruno Pereira."
3112171,5229596,0.255651,"Hoje nós já contamos naquele território com uma estrutura que garante a rápida comunicação com Brasília, a rápida comunicação com a equipe técnica federal."
4358989,5229612,0.324333,"E também, sobre o que está acontecendo no Vale do Javari."
3112129,5229576,-1,"Quem acompanhou  e vai trazer os detalhes para a gente agora é a Manuela Castro."
3112161,5229592,0.668486,"De acordo com a união dos povos indígenas do Vale do Javari, na época dos assassinatos de Bruno e Don em dois mil e vinte e dois, onze pessoas eram ameaçadas de morte na região."
3348735,5229605,0.386229,"Então, com a FUNAI, com os povos indígenas,  com a própria Polícia Federal."
4359006,5229621,0.436611,"Essa equipe, ela está habilitada a fazer esses diálogos buscando a garantia da proteção das lideranças."
