idDocumentSentence1,idDocumentSentence2,cosine,sentence
5229637,5229585,0.887233,"Vamos ver agora uma reportagem que mostra a situação do Vale no Javari."
5229645,5229593,1,"A gente fica o tempo todo extremamente preocupado sobre o risco de um caso parecido voltar a se repetir."
5229661,5229609,1,"Ali a gente pode ver uma mesa, em que as pessoas vão debater o que está acontecendo na região onde aconteceram os assassinatos."
5229630,5229578,0.493964,"Olá, uma ótima noite para você, Porta Nova, para a Iara e para todos que acompanham o Repórter Brasil."
5229654,5229602,1,"A gente espera que melhore as ações do Governo, sobretudo a proteção territorial, a segurança, saúde, educação."
5229670,5229618,1,"Mas que o programa ainda não ofereceu medidas concretas de proteção como essas pessoas precisam."
5229663,5229611,1,"Que fica na região onde aconteceram os assassinatos."
5229639,5229587,0.227128,"O Vale do Javari é uma imensidão de oito milhões de hectares."
5229647,5229595,1,"O Governo lançou um plano de proteção do Vale do Javari."
5229632,5229580,0.765161,"Como a gente pode observar, as pessoas já estão aqui trabalhando na organização do evento."
5229656,5229604,1,"Entre as ações está o programa para proteger os defensores dos Direitos Humanos."
5229672,5229620,1,"Dessas equipes que estão lá e, também, com outros órgãos de Governo."
5229625,5229573,0.604315,"Eles morreram lutando pela proteção dos povos indígenas que vivem no Vale do Javari, no Amazonas."
5229641,5229589,0.848242,"Os povos que vivem ali reclamam da insegurança e da falta de agentes públicos."
5229649,5229597,1,"A viúva de Bruno Pereira não espera apenas justiça, mas também quer segurança para as comunidades amazônicas."
5229665,5229613,0.131407,"Que é a segunda maior terra indígena do Brasil e concentra o maior número de terras indígenas isoladas do mundo."
5229634,5229582,0.611046,"Também haverá um balanço das ações do governo na terra indígena Vale do Javari."
5229658,5229606,0.645179,"Contam como estão as investigações e dão uma ideia de como estão os defensores dos indígenas que vivem lá na região."
5229674,5229622,1,"Que se não for tratado isso, vai vitimar outras pessoas, né?"
5229667,5229615,1,"O Exército faz, o IBAMA as vezes faz também, fez uma vez com a FUNAI e… só se for ação pontual mesmo."
5229627,5229575,0.607802,"Hoje o dia foi de homenagens em Brasília."
5229643,5229591,1,"Agora, permanente, efetivamente, nessa região não tem como não."
5229651,5229599,1,"E, sobretudo, as lideranças indígenas."
5229636,5229584,-1,"E, agora a noite, começou a projeção das imagens de Don e Bruno na esplanada dos ministérios."
5229660,5229608,1,"Já tem alguns convidados que já chegaram também."
5229629,5229577,-1,"Manuela, muito boa noite para você."
5229653,5229601,1,"Já no início do ano passado, nós deslocamos uma base fluvial, que é a base Nova Era, para a região do Vale do Javari."
5229669,5229617,1,"Porque tem pessoas muito engajadas na luta pelo Vale do Javari, que seguem sofrendo ameaças."
5229638,5229586,-1,"Vamos ver agora."
5229646,5229594,1,"Então, acho que esse é um ponto muito sério, que teve um pequeno avanço de colocá-los no programa."
5229662,5229610,0.898088,"Ali a gente pode ver uma mesa, em que as pessoas vão debater o que está acontecendo na região onde aconteceram os assassinatos."
5229655,5229603,1,"Esses três, quatro temas principais que a gente espera que o Governo faça suas responsabilidades e ações, né?"
5229671,5229619,1,"Que tem uma equipe de oito profissionais de diversas áreas."
5229631,5229579,0.870435,"Eu estou aqui no memorial dos povos indígenas, que fica no centro de Brasília."
5229624,5229572,0.984467,"A gente começa o Repórter Brasil falando sobre os dois anos dos assassinatos do indigenista brasileiro Bruno Pereira e do Jornalista Britânico Don Phillips."
5229640,5229588,0.997954,"Fica na fronteira entre Brasil, Peru e Colômbia."
5229648,5229596,1,"Hoje nós já contamos naquele território com uma estrutura que garante a rápida comunicação com Brasília, a rápida comunicação com a equipe técnica federal."
5229664,5229612,1,"E também, sobre o que está acontecendo no Vale do Javari."
5229633,5229581,-1,"E, além da homenagem."
5229657,5229605,1,"Então, com a FUNAI, com os povos indígenas,  com a própria Polícia Federal."
5229673,5229621,1,"Essa equipe, ela está habilitada a fazer esses diálogos buscando a garantia da proteção das lideranças."
5229626,5229574,0.760273,"Nós preparamos reportagens especiais que relembram o caso."
5229642,5229590,1,"Permanente aqui, nessa região, não tem não, mas para fazer um trabalho esporádico, vai lá fazer uma operação rápida e volta."
5229650,5229598,1,"Para além da punição dos executores, a gente espera que seja feito realmente um trabalho de desmantelamento daquela cadeia criminosa."
5229666,5229614,1,"Tamanho equivalente a muitos países, como Áustria e Emirados Árabes."
5229659,5229607,0.879253,"E onde daqui a pouco, está marcado para às sete e meia da noite, vai começar um ato em homenagem aos dois anos de morte de Don Phillips e Bruno Pereira."
5229675,5229623,1,"Implementamos novas ações, ações essas, inclusive, integradas com outros órgãos."
5229635,5229583,0.947931,"Hoje a tarde houve uma roda de conversas e também a exibição de um documentário sobre a morte de Don Phillips e Bruno Pereira."
5229628,5229576,0.467323,"Quem acompanhou  e vai trazer os detalhes para a gente agora é a Manuela Castro."
5229644,5229592,1,"De acordo com a união dos povos indígenas do Vale do Javari, na época dos assassinatos de Bruno e Don em dois mil e vinte e dois, onze pessoas eram ameaçadas de morte na região."
5229652,5229600,1,"Segundo a Polícia Federal, há um plano de segurança para a região."
5229668,5229616,1,"O Exército faz, o IBAMA as vezes faz também, fez uma vez com a FUNAI e… só se for ação pontual mesmo."
