idDocumentSentence1,idDocumentSentence2,cosine_anno_lome,cosine_anno_lomeedt,cosine_lome_lomeedt,sentence
3195153,5230157,0.682429,0.682429,1,"O clube social Satélite Prontidão, uma das mais antigas sociedades de negros, está ajudando famílias severamente afetadas."
3195175,5230168,0.598921,0.598921,1,"Como é que a gente trabalhar com um tanto de água?"
3195157,5230159,-1,-1,-1,"O Satélite Prontidão, um dos clubes sociais negros mais antigos do Rio Grande do Sul com cento e vinte e dois anos, transformou-se em uma grande central de distribuição de donativos."
3195179,5230170,0.683469,0.683469,1,"O Satélite Prontidão, quando abre suas portas, ele faz exatamente esse serviço, de acolhimento a toda essa parte da população que realmente se viu em um momento de necessidade, de vulnerabilidade."
3195161,5230161,0.718293,0.718293,1,"Ao todo, cento e sessenta e oito templos de matriz africana e setecentas famílias foram beneficiadas."
4380228,5230172,-1,-1,-1,"Formando, assim, uma grande rede de solidariedade em prol dos povos de terreiros e dos quilombos urbanos."
3195147,5230154,-1,-1,-1,"A periferia da zona norte de Porto Alegre foi uma das áreas mais afetadas pelas enchentes que a gente está mostrando já há bastante tempo."
3195165,5230163,0.573906,0.573906,1,"Estamos aí, em um estado onde temos um número de vinte e três por cento, não é, de pessoas pretas e pardas e que muitos, não é, são adeptos das religiões de matriz africana."
3195169,5230165,0.816329,0.816329,1,"É o caso do Ricardo."
3195151,5230156,0.539306,0.539306,1,"Assim, a calamidade explicitou ainda mais as graves desigualdades sociais."
3195173,5230167,0.897477,0.897477,1,"Agora, está hospedado na casa da mãe."
3195155,5230158,0.349192,0.349192,1,"Vamos ver na reportagem da TBE do Rio Grande do Sul, emissora da Rede Nacional de Comunicação Pública."
3195177,5230169,0.51515,0.51515,1,"Não tem como, tivemos que ser deslocados de lá, ir para um abrigo, não é, e as roupas da gente, sabe, a gente depende de vir uma ONG assim."
3195159,5230160,0.604691,0.604691,1,"O Satélite Prontidão fez uma parceria com outras organizações negras."
3195181,5230171,0.791709,0.791709,1,"Muitas pessoas ainda vão precisar dessa ajuda que a gente está conseguindo alcançar."
3195167,5230164,0.47713,0.47713,1,"Entendemos, não é, que seria necessário ter um atendimento específico, não é."
3195163,5230162,0.774684,0.774684,1,"De maio até agora, mais de vinte toneladas de alimentos foram entregues, beneficiando mais de dezesseis mil pessoas."
3195149,5230155,0.224706,0.224706,1,"Nessas regiões, se concentram grande número de pessoas pobres e negras, muitas pertencentes a quilombos urbanos e terreiros também."
4380230,5230173,0.747728,0.747728,1,"Já que muitos relatos de hostilidades, não é, de intolerância dentro de abrigos fez com que a gente, aí, acendesse um pouquinho, não é, esse farol para essa parte da população."
3195171,5230166,0.833623,0.833623,1,"Ele morava no bairro Lami, na zona sul, e perdeu quase tudo com as cheias."
